,"ANSICHT SEITE SÜD, M 1  100","ANSICHT WIDERLAGER, M 1 50","DETAIL  A , M 1 25","DETAIL  B , M=1 25",DRAUFSICHT AUF .... N,KAPPE AUF DER STÜTZWAND,"LÄNGSSCHNITT A-A, M 1 100",Raumfuge (RF) n. RiZ Fug 1 Bild 2,REGELQUERSCHNITT,SICHTFLÄCHENSCHALUNG   ÜBERBAU,Sickerschacht
qs_w2e_east,0.214,0.218,0.224,0.089,0.167,0.205,0.205,0.16,0.212,0.169,0.111
qs_w2e_middle,0.125,0.11,0.114,0.105,0.103,0.13,0.132,0.103,0.152,0.112,0.065
qs_w2e_west,0.191,0.215,0.177,0.132,0.173,0.144,0.155,0.19,0.216,0.192,0.118
sideview,0.375,0.244,0.184,0.159,0.203,0.182,0.315,0.151,0.21,0.256,0.135
topview,0.384,0.424,0.3,0.499,0.518,0.277,0.454,0.37,0.349,0.472,0.473
wl_east_east,0.288,0.265,0.243,0.091,0.16,0.258,0.22,0.229,0.24,0.215,0.106
wl_east_north,0.329,0.321,0.346,0.228,0.259,0.381,0.305,0.332,0.377,0.337,0.225
wl_east_south,0.331,0.326,0.346,0.23,0.267,0.384,0.308,0.335,0.377,0.342,0.23
wl_east_top,0.232,0.237,0.292,0.191,0.183,0.285,0.163,0.278,0.272,0.201,0.141
wl_east_west,0.301,0.276,0.246,0.098,0.168,0.264,0.229,0.232,0.244,0.226,0.106
wl_west_east,0.218,0.278,0.19,0.058,0.201,0.225,0.235,0.163,0.223,0.229,0.088
wl_west_north,0.3,0.249,0.216,0.096,0.189,0.244,0.283,0.195,0.279,0.211,0.106
wl_west_south,0.315,0.253,0.215,0.101,0.179,0.239,0.266,0.195,0.269,0.207,0.106
wl_west_top,0.266,0.251,0.271,0.194,0.146,0.261,0.171,0.262,0.248,0.194,0.109
wl_west_west,0.218,0.278,0.192,0.054,0.197,0.225,0.233,0.163,0.225,0.228,0.085
