,Absteckpunkte ,Absteckpunkte _1,In vertragticher Hinsicht einschließlich der Übereinstimmung mit den,ZEICHNUNGEN UND DER BAUAUSFÜHRUNG ÜBEREIN
qs_w2e_east,0.159,0.127,0.126,0.149
qs_w2e_middle,0.109,0.075,0.083,0.11
qs_w2e_west,0.16,0.131,0.156,0.207
sideview,0.197,0.165,0.135,0.149
topview,0.421,0.451,0.295,0.397
wl_east_east,0.201,0.125,0.182,0.217
wl_east_north,0.334,0.251,0.268,0.325
wl_east_south,0.34,0.261,0.271,0.33
wl_east_top,0.238,0.151,0.226,0.284
wl_east_west,0.206,0.132,0.181,0.229
wl_west_east,0.152,0.142,0.114,0.158
wl_west_north,0.179,0.132,0.141,0.19
wl_west_south,0.166,0.128,0.142,0.182
wl_west_top,0.187,0.135,0.211,0.31
wl_west_west,0.149,0.137,0.109,0.16
