,ABSTECKPUNKTE,Achse   0,"ANSICHT WIDERLAGER, M 1 50","ANSICHT WIDERLAGER, M 1 50_1",DATUM  .,"DETAIL  A , M 1 10","DETAIL  A , M 1 10_1","DETAIL  C , M=1 10","DETAIL  C , M=1 10_1","DRAUFSICHT, M 1 50","DRAUFSICHT, M 1 50_1","DRAUFSICHT, M 1 50_2","FLÜGELSCHNITT, M 1 50",Lage  der Arbeits-und,"LÄNGSSCHNITT A-A, M 1 50",Sauberkeilsschicht € 8 10
qs_w2e_east,0.14,0.203,0.233,0.226,0.124,0.14,0.194,0.239,0.175,0.141,0.176,0.198,0.263,0.183,0.155,0.174
qs_w2e_middle,0.13,0.108,0.13,0.142,0.086,0.111,0.109,0.226,0.109,0.12,0.11,0.147,0.19,0.131,0.071,0.115
qs_w2e_west,0.186,0.23,0.222,0.241,0.146,0.198,0.195,0.192,0.177,0.131,0.158,0.161,0.212,0.179,0.173,0.233
sideview,0.112,0.189,0.194,0.175,0.157,0.187,0.202,0.244,0.176,0.169,0.188,0.196,0.249,0.211,0.156,0.152
topview,0.155,0.37,0.432,0.355,0.412,0.513,0.366,0.298,0.357,0.34,0.317,0.356,0.364,0.358,0.424,0.424
wl_east_east,0.218,0.22,0.234,0.244,0.18,0.226,0.279,0.293,0.214,0.183,0.195,0.219,0.316,0.199,0.192,0.215
wl_east_north,0.246,0.338,0.327,0.297,0.292,0.322,0.384,0.365,0.303,0.336,0.324,0.341,0.428,0.295,0.34,0.383
wl_east_south,0.242,0.345,0.336,0.308,0.292,0.33,0.392,0.366,0.306,0.344,0.324,0.346,0.427,0.302,0.343,0.385
wl_east_top,0.275,0.252,0.26,0.27,0.176,0.293,0.247,0.393,0.26,0.202,0.227,0.251,0.278,0.188,0.207,0.244
wl_east_west,0.217,0.227,0.244,0.247,0.182,0.233,0.284,0.301,0.223,0.184,0.198,0.224,0.323,0.207,0.196,0.219
wl_west_east,0.163,0.219,0.222,0.259,0.141,0.091,0.298,0.231,0.209,0.177,0.183,0.203,0.281,0.205,0.174,0.22
wl_west_north,0.136,0.204,0.218,0.207,0.161,0.194,0.255,0.273,0.219,0.154,0.179,0.191,0.344,0.176,0.188,0.257
wl_west_south,0.132,0.2,0.215,0.205,0.162,0.191,0.252,0.268,0.21,0.152,0.171,0.18,0.329,0.17,0.184,0.258
wl_west_top,0.265,0.237,0.234,0.249,0.156,0.254,0.226,0.364,0.232,0.141,0.187,0.188,0.251,0.211,0.174,0.209
wl_west_west,0.16,0.219,0.218,0.254,0.138,0.088,0.295,0.23,0.207,0.174,0.184,0.202,0.289,0.202,0.174,0.224
