,ANSICHT WIDERLAGER .... M 1 25,ANSICHT WIDERLAGER .... M 1 25_1,DETAIL  A  M 1 10,DIESE ZEICHNUNG STIMMT MIT DEN FREIGEGEBENEN,"DRAUFSICHT, M 1 50","LÄNGSSCHNITT A-A, M 1 50","REGELQUERSCHNITT , M 1 25","REGELQUERSCHNITT , M 1 25_1","REGELQUERSCHNITT , M 1 25_2",SICHTBARE RECHTWINKLIGE UND SPITZE KANTEN,"Übergangskonstrukion,"
qs_w2e_east,0.214,0.187,0.166,0.126,0.103,0.13,0.193,0.19,0.189,0.148,0.201
qs_w2e_middle,0.159,0.119,0.071,0.094,0.081,0.081,0.212,0.187,0.141,0.133,0.121
qs_w2e_west,0.215,0.188,0.169,0.149,0.145,0.155,0.204,0.162,0.225,0.183,0.178
sideview,0.225,0.166,0.178,0.169,0.155,0.205,0.283,0.229,0.173,0.128,0.187
topview,0.447,0.386,0.422,0.412,0.504,0.579,0.346,0.499,0.386,0.171,0.305
wl_east_east,0.225,0.201,0.193,0.186,0.08,0.155,0.295,0.258,0.229,0.223,0.25
wl_east_north,0.307,0.297,0.324,0.319,0.182,0.261,0.347,0.31,0.308,0.263,0.324
wl_east_south,0.313,0.304,0.328,0.321,0.186,0.266,0.358,0.321,0.312,0.261,0.326
wl_east_top,0.224,0.209,0.277,0.178,0.137,0.158,0.416,0.205,0.269,0.274,0.302
wl_east_west,0.236,0.211,0.2,0.189,0.084,0.163,0.308,0.268,0.239,0.223,0.26
wl_west_east,0.24,0.2,0.145,0.159,0.117,0.166,0.191,0.168,0.239,0.166,0.221
wl_west_north,0.264,0.228,0.213,0.184,0.106,0.201,0.237,0.242,0.276,0.146,0.239
wl_west_south,0.266,0.222,0.208,0.184,0.103,0.197,0.251,0.241,0.265,0.142,0.229
wl_west_top,0.281,0.225,0.296,0.155,0.126,0.134,0.485,0.164,0.298,0.254,0.263
wl_west_west,0.239,0.203,0.145,0.154,0.105,0.161,0.192,0.163,0.241,0.163,0.222
