,ANSCHLUSSBEWEHRUNG,ANSCHLUSSBEWEHRUNG_1,Biegerollendurchmesser,DRAUFSICHT AUF. ... M 1 50,"FLÜGELSCHNITT, M 1 50",OBERE LAGE,OBERE LAGE_1,RUNDSTAHL - STÜCKLISTE,SEITE OST,SEITE OST_1,SEITE WEST,SEITE WEST_1,ZEICHNUNGEN UND DER BAUAUSFÜHRUNG ÜBEREIN,Zut(7)¢ 25 s,Zut(7)¢ 25 s_1
qs_w2e_east,0.122,0.097,0.16,0.153,0.187,0.145,0.178,0.05,0.005,0.181,0.166,0.11,0.138,0.097,0.105
qs_w2e_middle,0.077,0.113,0.097,0.082,0.134,0.112,0.111,0.079,0.074,0.119,0.18,0.084,0.099,0.064,0.061
qs_w2e_west,0.129,0.137,0.133,0.147,0.171,0.136,0.18,0.138,0.163,0.173,0.146,0.135,0.137,0.132,0.118
sideview,0.117,0.131,0.193,0.175,0.177,0.167,0.189,0.114,0.115,0.147,0.215,0.148,0.148,0.138,0.14
topview,0.314,0.445,0.356,0.384,0.346,0.343,0.357,0.136,0.475,0.391,0.435,0.485,0.373,0.506,0.442
wl_east_east,0.179,0.125,0.197,0.194,0.225,0.191,0.2,0.153,0.026,0.226,0.208,0.147,0.176,0.13,0.149
wl_east_north,0.264,0.233,0.262,0.275,0.349,0.249,0.295,0.159,0.116,0.33,0.241,0.265,0.307,0.248,0.276
wl_east_south,0.271,0.238,0.263,0.281,0.357,0.257,0.305,0.159,0.132,0.339,0.255,0.275,0.308,0.262,0.284
wl_east_top,0.229,0.184,0.219,0.217,0.264,0.212,0.261,0.141,0.098,0.256,0.224,0.192,0.194,0.182,0.177
wl_east_west,0.18,0.119,0.2,0.203,0.228,0.198,0.21,0.145,0.027,0.229,0.216,0.147,0.178,0.131,0.152
wl_west_east,0.124,0.051,0.136,0.163,0.204,0.17,0.17,0.072,-0.05,0.216,0.141,0.124,0.143,0.09,0.119
wl_west_north,0.135,0.065,0.181,0.157,0.181,0.157,0.162,0.056,-0.021,0.18,0.171,0.093,0.15,0.083,0.114
wl_west_south,0.135,0.069,0.171,0.147,0.169,0.15,0.157,0.053,-0.005,0.165,0.174,0.091,0.151,0.079,0.106
wl_west_top,0.178,0.126,0.193,0.212,0.179,0.181,0.237,0.128,0.079,0.205,0.228,0.136,0.179,0.105,0.115
wl_west_west,0.127,0.046,0.136,0.167,0.201,0.172,0.173,0.069,-0.059,0.214,0.14,0.115,0.139,0.08,0.112
