,Achise   0,ANSICHT FLÜGEL,Biegerollendurchmess,"DETAIL A , M=1 25",DIESE ZEICHNUNG STIMMT MIT DEN FREIGEGEBENC,Draufsicht,ES (48) 31 Ø 14 $=15,"FLÜGELSCHNITT, M 1 50","GRUNDRISS, M 1 50","GRUNDRISS, M 1 50_1",RUNDSTAHL - STÜCKLISTE,SCHNITT A-A. M 1 50,Tabelle zu (33),Tabelle zu,Tabelle zu_1,"WIDERLAGER ACHSE 0, M 1 50","WIDERLAGER ACHSE 50, M 1 50"
qs_w2e_east,0.156,0.212,0.113,0.177,0.114,0.149,0.123,0.151,0.255,0.129,0.112,0.135,0.115,0.097,0.115,0.249,0.185
qs_w2e_middle,0.111,0.129,0.086,0.095,0.081,0.102,0.106,0.104,0.237,0.073,0.149,0.118,0.112,0.097,0.088,0.144,0.073
qs_w2e_west,0.142,0.218,0.131,0.18,0.137,0.116,0.117,0.112,0.263,0.096,0.144,0.122,0.112,0.139,0.13,0.213,0.179
sideview,0.164,0.188,0.131,0.163,0.15,0.189,0.121,0.115,0.237,0.143,0.147,0.145,0.16,0.09,0.109,0.189,0.159
topview,0.417,0.356,0.362,0.232,0.398,0.384,0.352,0.299,0.402,0.438,0.15,0.362,0.411,0.22,0.244,0.389,0.388
wl_east_east,0.168,0.286,0.153,0.223,0.171,0.207,0.161,0.154,0.368,0.142,0.238,0.19,0.171,0.194,0.203,0.295,0.22
wl_east_north,0.312,0.352,0.257,0.335,0.284,0.294,0.237,0.252,0.456,0.264,0.268,0.302,0.274,0.191,0.227,0.329,0.312
wl_east_south,0.309,0.36,0.257,0.337,0.286,0.297,0.243,0.253,0.465,0.269,0.268,0.31,0.271,0.189,0.223,0.329,0.321
wl_east_top,0.22,0.217,0.203,0.224,0.162,0.184,0.143,0.171,0.43,0.163,0.199,0.174,0.19,0.194,0.207,0.239,0.205
wl_east_west,0.168,0.289,0.152,0.236,0.173,0.217,0.16,0.161,0.377,0.148,0.238,0.189,0.175,0.188,0.201,0.296,0.223
wl_west_east,0.193,0.274,0.092,0.189,0.124,0.16,0.142,0.17,0.222,0.154,0.203,0.168,0.125,0.125,0.129,0.269,0.252
wl_west_north,0.198,0.235,0.101,0.202,0.148,0.201,0.132,0.18,0.299,0.144,0.191,0.155,0.145,0.092,0.11,0.234,0.183
wl_west_south,0.196,0.228,0.104,0.184,0.152,0.188,0.128,0.168,0.291,0.135,0.186,0.151,0.147,0.09,0.107,0.237,0.178
wl_west_top,0.142,0.189,0.163,0.153,0.16,0.167,0.088,0.08,0.376,0.115,0.151,0.11,0.158,0.192,0.199,0.18,0.154
wl_west_west,0.192,0.269,0.09,0.196,0.118,0.159,0.135,0.168,0.222,0.151,0.204,0.162,0.124,0.122,0.13,0.268,0.249
