,Bewehrung Fundamente,Biegerottendurchmesser dbr,Biegerottendurchmesser dbr_1,DATUM  . .,"DETAIL A , M 1 25",DRAUFSICHT AUF. . .. M 1 50,"LÄNGSSCHNITT A-A, M 1 50",ME  LS (15) 7 ¢ 10 sy=1.00,ME  LS (15) 7 ¢ 10 sy=1.00_1,QUERSCHNITTE ...,RUNDSTAHL - STÜCKLISTE,Tabelle zu,ZuL (25 )27)
qs_w2e_east,0.067,0.02,0.142,0.118,0.144,0.081,0.109,0.195,0.032,0.165,0.131,0.116,0.178
qs_w2e_middle,0.061,0.072,0.091,0.082,0.113,0.044,0.086,0.149,0.02,0.102,0.184,0.1,0.141
qs_w2e_west,0.133,0.159,0.134,0.141,0.15,0.142,0.136,0.193,0.149,0.145,0.145,0.145,0.144
sideview,0.128,0.133,0.155,0.137,0.13,0.108,0.16,0.114,0.081,0.137,0.171,0.094,0.146
topview,0.528,0.492,0.324,0.421,0.309,0.498,0.407,0.288,0.507,0.35,0.188,0.235,0.304
wl_east_east,0.063,0.048,0.167,0.151,0.169,0.071,0.151,0.253,0.01,0.2,0.26,0.222,0.224
wl_east_north,0.166,0.161,0.24,0.285,0.288,0.178,0.247,0.277,0.109,0.308,0.284,0.213,0.328
wl_east_south,0.176,0.177,0.237,0.286,0.286,0.184,0.25,0.281,0.12,0.314,0.283,0.214,0.333
wl_east_top,0.115,0.118,0.211,0.184,0.275,0.145,0.144,0.276,0.124,0.181,0.194,0.208,0.209
wl_east_west,0.062,0.051,0.169,0.152,0.181,0.072,0.159,0.261,0.007,0.202,0.266,0.216,0.226
wl_west_east,0.062,-0.04,0.107,0.117,0.121,0.049,0.155,0.175,-0.045,0.185,0.232,0.155,0.187
wl_west_north,0.047,0.01,0.132,0.142,0.196,0.07,0.14,0.197,-0.028,0.194,0.228,0.107,0.212
wl_west_south,0.053,0.026,0.125,0.141,0.187,0.068,0.142,0.19,-0.016,0.186,0.224,0.106,0.204
wl_west_top,0.078,0.101,0.192,0.156,0.257,0.103,0.136,0.263,0.07,0.11,0.16,0.203,0.131
wl_west_west,0.048,-0.049,0.108,0.112,0.123,0.037,0.152,0.173,-0.058,0.181,0.232,0.154,0.184
