,Achse  0,"Anspannstelle Seite Ost, M 1 25",Anspannstelle und Festankerstet le vertausch! b.beiunstellund. Feb 2011. M,"ANSPANNSTELLE, M 1 25",DIESE ZEICHNUNG STIMMT MIT DEN FREIGEGEBENEN,Festanker  Fe ,"Festankerstelle Seite West ,","FESTANKERSTELLE, M 1 25",LÄNGSVORSPANNUNG ,PASZE  IN CM GELTEN NUR FU,"QUERSCHNITT IN PUNKT  0 , M 1 25",RUNDSTAHL - STÜCKLISTE,Stahlbeton,Tabelle zu (11,Tabelle zu,Tabelle zu_1,ZUSATZBEWEHRUNG M=1 10
qs_w2e_east,0.165,0.163,0.12,0.155,0.179,0.153,0.189,0.232,0.204,0.079,0.2,0.04,0.153,0.122,0.122,0.123,0.132
qs_w2e_middle,0.104,0.084,0.089,0.063,0.148,0.114,0.103,0.094,0.117,0.071,0.116,0.069,0.09,0.093,0.078,0.069,0.11
qs_w2e_west,0.124,0.18,0.136,0.122,0.197,0.169,0.185,0.191,0.184,0.115,0.139,0.134,0.16,0.117,0.151,0.141,0.131
sideview,0.247,0.1,0.14,0.135,0.105,0.168,0.161,0.174,0.189,0.104,0.095,0.107,0.141,0.121,0.122,0.101,0.124
topview,0.467,0.354,0.429,0.386,0.167,0.423,0.372,0.405,0.304,0.473,0.18,0.182,0.395,0.358,0.34,0.336,0.225
wl_east_east,0.136,0.167,0.169,0.167,0.237,0.248,0.214,0.197,0.22,0.087,0.218,0.139,0.192,0.17,0.198,0.201,0.184
wl_east_north,0.245,0.238,0.307,0.303,0.257,0.394,0.266,0.284,0.309,0.19,0.246,0.146,0.281,0.247,0.244,0.254,0.246
wl_east_south,0.236,0.241,0.308,0.301,0.256,0.397,0.272,0.289,0.311,0.193,0.243,0.148,0.282,0.242,0.248,0.259,0.235
wl_east_top,0.163,0.251,0.171,0.215,0.374,0.282,0.244,0.227,0.263,0.131,0.321,0.144,0.222,0.206,0.219,0.229,0.266
wl_east_west,0.142,0.169,0.171,0.17,0.241,0.254,0.22,0.201,0.221,0.092,0.221,0.131,0.196,0.17,0.197,0.204,0.195
wl_west_east,0.163,0.14,0.139,0.16,0.113,0.168,0.175,0.223,0.151,0.101,0.178,0.048,0.135,0.093,0.119,0.113,0.146
wl_west_north,0.208,0.122,0.173,0.178,0.129,0.227,0.197,0.2,0.161,0.1,0.167,0.045,0.158,0.103,0.118,0.118,0.186
wl_west_south,0.195,0.112,0.168,0.165,0.122,0.215,0.183,0.187,0.156,0.096,0.157,0.04,0.151,0.104,0.111,0.113,0.168
wl_west_top,0.118,0.215,0.137,0.141,0.334,0.215,0.215,0.185,0.241,0.104,0.287,0.118,0.191,0.169,0.195,0.202,0.225
wl_west_west,0.155,0.143,0.134,0.157,0.11,0.171,0.177,0.221,0.155,0.092,0.18,0.041,0.136,0.093,0.117,0.11,0.16
