,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.275,0.256,0.147,0.253,0.231
"ANSICHT SEITE SÜD, M 1  100",0.199,0.191,0.125,0.214,0.375
"ANSICHT WIDERLAGER, M 1 50",0.23,0.215,0.11,0.218,0.244
"DETAIL  A , M 1 25",0.205,0.177,0.114,0.224,0.184
"DETAIL  B , M=1 25",0.138,0.132,0.105,0.089,0.159
DRAUFSICHT AUF .... N,0.173,0.173,0.103,0.167,0.203
KAPPE AUF DER STÜTZWAND,0.181,0.144,0.13,0.205,0.182
"LÄNGSSCHNITT A-A, M 1 100",0.167,0.155,0.132,0.205,0.315
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.197,0.19,0.103,0.16,0.151
REGELQUERSCHNITT,0.221,0.216,0.152,0.212,0.21
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.188,0.192,0.112,0.169,0.256
Sickerschacht,0.132,0.118,0.065,0.111,0.135
