,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.58,0.539,0.412,0.494,0.463
"ANSICHT SEITE SÜD, M 1  100",0.429,0.376,0.334,0.47,0.548
"ANSICHT WIDERLAGER, M 1 50",0.551,0.508,0.43,0.501,0.455
"DETAIL  A , M 1 25",0.548,0.52,0.419,0.539,0.637
"DETAIL  B , M=1 25",0.439,0.419,0.501,0.451,0.619
DRAUFSICHT AUF .... N,0.492,0.461,0.485,0.447,0.598
KAPPE AUF DER STÜTZWAND,0.504,0.481,0.434,0.489,0.62
"LÄNGSSCHNITT A-A, M 1 100",0.459,0.436,0.401,0.463,0.618
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.424,0.431,0.394,0.395,0.467
REGELQUERSCHNITT,0.612,0.614,0.42,0.507,0.536
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.485,0.463,0.446,0.435,0.55
Sickerschacht,0.432,0.378,0.394,0.394,0.519
