,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.302,0.19,0.189,0.251,0.285
"ANSICHT SEITE SÜD, M 1  100",0.232,0.205,0.178,0.201,0.323
"ANSICHT WIDERLAGER, M 1 50",0.338,0.239,0.203,0.271,0.266
"DETAIL  A , M 1 25",0.299,0.178,0.227,0.286,0.295
"DETAIL  B , M=1 25",0.238,0.173,0.354,0.365,0.483
DRAUFSICHT AUF .... N,0.262,0.214,0.283,0.327,0.412
KAPPE AUF DER STÜTZWAND,0.29,0.187,0.183,0.272,0.248
"LÄNGSSCHNITT A-A, M 1 100",0.265,0.213,0.256,0.287,0.397
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.267,0.169,0.263,0.249,0.318
REGELQUERSCHNITT,0.336,0.308,0.318,0.37,0.426
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.294,0.215,0.216,0.282,0.369
Sickerschacht,0.25,0.17,0.259,0.278,0.31
