,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.265,0.277,0.185,0.244,0.3
"ANSICHT SEITE SÜD, M 1  100",0.233,0.245,0.208,0.227,0.376
"ANSICHT WIDERLAGER, M 1 50",0.283,0.299,0.225,0.265,0.329
"DETAIL  A , M 1 25",0.243,0.229,0.255,0.19,0.235
"DETAIL  B , M=1 25",0.241,0.247,0.191,0.236,0.292
DRAUFSICHT AUF .... N,0.221,0.238,0.182,0.176,0.257
KAPPE AUF DER STÜTZWAND,0.205,0.215,0.175,0.172,0.225
"LÄNGSSCHNITT A-A, M 1 100",0.184,0.202,0.195,0.175,0.307
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.312,0.331,0.184,0.267,0.267
REGELQUERSCHNITT,0.298,0.298,0.216,0.258,0.304
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.226,0.233,0.181,0.178,0.306
Sickerschacht,0.13,0.124,0.104,0.097,0.156
