,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.244,0.208,0.129,0.225,0.167
"ANSICHT SEITE SÜD, M 1  100",0.242,0.2,0.163,0.177,0.283
"ANSICHT WIDERLAGER, M 1 50",0.257,0.221,0.154,0.224,0.188
"DETAIL  A , M 1 25",0.273,0.274,0.163,0.283,0.231
"DETAIL  B , M=1 25",0.153,0.136,0.107,0.135,0.131
DRAUFSICHT AUF .... N,0.267,0.188,0.204,0.237,0.257
KAPPE AUF DER STÜTZWAND,0.28,0.251,0.134,0.264,0.2
"LÄNGSSCHNITT A-A, M 1 100",0.147,0.128,0.097,0.137,0.112
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.304,0.226,0.274,0.285,0.281
REGELQUERSCHNITT,0.324,0.306,0.212,0.298,0.199
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.195,0.141,0.126,0.165,0.167
Sickerschacht,0.115,0.104,0.05,0.098,0.089
