,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.097,0.13,0.2,0.194,0.159
"ANSICHT SEITE SÜD, M 1  100",-0.008,-0.013,0.146,0.138,0.215
"ANSICHT WIDERLAGER, M 1 50",0.089,0.124,0.189,0.246,0.177
"DETAIL  A , M 1 25",0.068,0.054,0.134,0.14,0.153
"DETAIL  B , M=1 25",0.08,0.089,0.137,0.149,0.235
DRAUFSICHT AUF .... N,0.041,0.089,0.281,0.197,0.199
KAPPE AUF DER STÜTZWAND,0.051,0.073,0.213,0.175,0.217
"LÄNGSSCHNITT A-A, M 1 100",0.092,0.115,0.144,0.135,0.181
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.019,0.031,0.109,0.083,0.245
REGELQUERSCHNITT,0.086,0.104,0.215,0.153,0.156
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.045,0.071,0.167,0.171,0.185
Sickerschacht,0.133,0.116,0.095,0.153,0.116
