,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.565,0.571,0.388,0.464,0.476
"ANSICHT SEITE SÜD, M 1  100",0.498,0.479,0.356,0.418,0.487
"ANSICHT WIDERLAGER, M 1 50",0.593,0.592,0.398,0.471,0.508
"DETAIL  A , M 1 25",0.455,0.46,0.308,0.348,0.404
"DETAIL  B , M=1 25",0.311,0.314,0.31,0.275,0.42
DRAUFSICHT AUF .... N,0.463,0.482,0.379,0.393,0.47
KAPPE AUF DER STÜTZWAND,0.448,0.481,0.388,0.369,0.468
"LÄNGSSCHNITT A-A, M 1 100",0.47,0.471,0.36,0.388,0.466
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.537,0.53,0.342,0.373,0.416
REGELQUERSCHNITT,0.506,0.528,0.414,0.421,0.481
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.553,0.556,0.392,0.452,0.545
Sickerschacht,0.365,0.351,0.243,0.293,0.341
