,atest_wl_vMRT,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1
aatest_wl_scan,0.506,0.488,0.275,0.402,0.434
"ANSICHT SEITE SÜD, M 1  100",0.455,0.495,0.57,0.477,0.518
"ANSICHT WIDERLAGER, M 1 50",0.475,0.457,0.271,0.384,0.416
"DETAIL  A , M 1 25",0.331,0.342,0.224,0.309,0.336
"DETAIL  B , M=1 25",0.432,0.468,0.377,0.423,0.53
DRAUFSICHT AUF .... N,0.451,0.451,0.248,0.361,0.383
KAPPE AUF DER STÜTZWAND,0.367,0.398,0.283,0.344,0.39
"LÄNGSSCHNITT A-A, M 1 100",0.373,0.378,0.258,0.318,0.402
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.538,0.529,0.361,0.45,0.467
REGELQUERSCHNITT,0.487,0.51,0.367,0.423,0.392
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.409,0.41,0.277,0.354,0.423
Sickerschacht,0.383,0.394,0.222,0.309,0.369
